en|There are other points that have been raised which we think are vital as well.
nl|Uitsluitend in zulke gevallen moet de staat overwegen om buitengewone en uitzonderlijke hulp te verlenen.
en|Of course I can go back and see whether we can find the necessary information.
nl|Daarom zou het volgens mij verstandig zijn om op deze manier te werk te gaan.
en|The Member States also need a common body of doctrine for the use of arms.
nl|Het is van belang dat de nationale programma's heldere bepalingen bevatten betreffende het besluitvormingsproces.
en|A second referendum should be called during the autumn of next year, possibly in October.
nl|De gelegenheid tot mobiliteit heeft hun situatie eerder verslechterd dan verbeterd en de discriminatie vergroot.
en|Nonetheless, it was a promise to our citizens and a step in the right direction.
nl|Dat is het echte antwoord, want we kunnen niet verwachten dat de markt gemakkelijker wordt.
