en|But can we, in such a situation, talk of the legitimacy of the elected government?
nl|Die is daar niet voor bedoeld, terwijl het bovendien beleidsmatig en juridisch onmogelijk zou zijn.
en|Some in this House may well welcome this, but I consider it a fundamental error.
nl|Er is vandaag veel over crisis gesproken, over de crisis waarin de Europese Unie verkeert.
en|We therefore call for a 60-80% reduction in the EU's emissions by 2050.
nl|Dit alles maakt deel uit van onze akkoorden en van de loyale samenwerking tussen instellingen.
en|These boundaries must not be drawn by surveyors or geographers. They are a political matter.
nl|Ook de door de rapporteur voorgestelde termijn van een half jaar moet serieus worden genomen.
en|That is what all of us, across Europe, have to fight with conviction and decisiveness.
nl|   Het beleid van de EU ten aanzien van de andere mediterrane landen wordt steeds agressiever.
en|Please answer us, therefore: at the IGC are you going to insist on full publicity?
nl|Ze protesteerden tegen de oneerlijke en discriminatoire maatregelen van de Commissie tegen de Poolse visserijsector.
en|He was arrested by Igor Smirnov's regime in the self-proclaimed Republic of Transnistria.
nl|Het is echter opmerkelijk dat de ideeën en thema’s in Davos wel zijn veranderd.
en|Non-food items, particularly small toys, or toys containing small parts are not risk-free.
nl|Alles valt of staat met het belang dat Rusland nastreeft in het Witrussische bedrijf Beltransgas.
en|Before declaring the debate closed, I should like to give the floor to the rapporteur.
nl|Deze projecten kunnen het best op gemeentelijk, lokaal of regionaal niveau ten uitvoer worden gelegd.
en|author. - (ES) Mr President, the human rights situation in Iran has deteriorated dramatically since 2005.
nl|De Cyprioten kiezen echter niet alleen met het verstand, zij kiezen ook met hun hart.
en|Could you let us know exactly how Question Time is going to be organised now?
nl|Bezuinigingen en het niet naleven van voorschriften veroorzaakten er de grootste milieuramp uit de geschiedenis.
en|It would be naïve to say that there were no illegal domestic workers in Europe.
nl|Ik hoop daarom dat vervoersbedrijven daadwerkelijk vaker voor een combinatie van verschillende vervoerswijzen zullen kiezen.
en|Commissioner McCreevy brought up 15% and was then beaten down to 5% by the industry.
nl|Op middellange termijn moet Europa zijn economie zien los te koppelen van de Amerikaanse cyclus.
en|Standardisation has already gone as far as it can within the Europe of the Fifteen.
nl|Deze sector is niet erg lucratief en wordt al enige tijd geconfronteerd met veel problemen.
en|Each of us knows that compliance with legally prescribed driving and rest periods is patchy.
nl|Het strenge mechanisme van budgettaire sancties waarin het stabiliteitspact voorziet zal die averechtse gevolgen hebben.
en|We also need to have more widespread democratic debates on European issues throughout the Union.
nl|Aan de orde is de mededeling van de Commissie over de bezwaren tegen het voorzorgsprincipe.
en|Like Mr Wibe I would also like to thank the Council representative for their answer.
nl|Voor de gebieden die de geachte afgevaardigde zojuist heeft genoemd bestaat er geen bijzonder probleem.
en|A monopoly in itself does not give any guarantees of equal service to all citizens.
