en|The Commission is fully aware of the importance of expanding the dialogue with civil society.
nl|In artikel 1, sub b), van het desbetreffende verdrag wordt het nemen van gijzelaars verboden.
en|Seven people lost their lives on the barricades defending Latvian independence, and many were injured.
nl|Is het misschien niet belangrijker om ons op de kern van de zaak te concentreren?
en|The European Union is not the only actor with a strategic interest in the area.
nl|Ik ben ook ingenomen met het verslag dat de heer Colom i Naval heeft geschreven.
en|We get growth only if the products that are manufactured are capable of being sold.
nl|De bereikte compromissen werden met slechts één tegenstem goedgekeurd door de Commissie vervoer en toerisme.
en|This responsibility is that of each Member State to guarantee accurate and reliable public accounts.
nl|Eigenlijk zouden alle schepen vervangen moeten worden door kleinere multi-purpose schepen met duurzame visserijmethoden.
en|We should not accept the imposition of any superior body telling us what to do.
nl|Dat is naar mijn mening terecht en er wordt gezegd dat deze onderzoeksruimte structuren creëert.
en|Lastly, Community incentives for Member States to acquire fisheries control heavy equipment should be strengthened.
nl|Wat in plaats daarvan moet gebeuren, is het definitief stopzetten van Europese steun aan bedrijven.
en|Mr President, I should like to thank Mrs Hautala for a good piece of work.
nl|De mogelijkheid om geld uit te geven heb ik al eerder tot eind 2007 verlengd.
en|A new political will is required that will produce more tangible results than Feira did.
nl|Dit begrip zou misschien ook kunnen worden gebruikt voor de ontwikkeling van andere soorten infrastructuur.
en|In approving this report on that occasion this House endorsed that view of the Community.
nl|Een regionaal informatiecentrum in Sana'a (Jemen) is eveneens aangewezen voor financiële steun in 2009.
en|Close, tangible cooperation with Russia is important for the entire EU, both economically and politically.
nl|Helaas is de situatie zo dat vrouwen duidelijk oververtegenwoordigd zijn voor wat betreft deze banen.
en|I have to say that the potential for self-destruction in this Parliament is enormous!
nl|Dit is waarom wij behoefte hebben aan meer gemeenschappelijke mondiale bereidheid en minder gemeenschappelijke frasen.
en|The agreements that were signed then, or which were agreed to, have scarcely been observed.
nl|Wij moeten onze markten ook openen voor producten met toegevoegde waarde uit die arme landen.
en|We have already pledged, and are working hard to deploy, EUR 200 million this year.
nl|In het belang van de economie en de werkgelegenheid moet de Europese thuismarkt worden aangescherpt.
en|How can you just answer by saying that the Commission report is 'bla, bla, bla' ?
nl|En nu verzoek ik u om naar de hymne van de Europese Unie te luisteren.
en|Mr President, there is a German proverb that says good things are worth waiting for.
nl|Ook kunst en cultuur hebben steun en aanmoediging nodig om aan creativiteit gestalte te geven.
en|Civil society, both in China and internationally, has expressed considerable disquiet about the methods employed.
nl|Een adequate reactie op misdaden die worden gepleegd uit naam van religie is zeker gepast.
en|I therefore fully agree with Mrs Quisthoudt-Rowohl and with the subsequent speakers in essence.
nl|Bij nader inzien steunen wij amendement 24 van mevrouw Oomen-Ruijten en haar fractie ook.
en|The directive proposes to protect the interests of minority shareholders and to keep employees informed.
nl|In dit verband moet worden opgemerkt dat de Europese Unie al werkt aan die preventiemaatregelen.
en|Different procedures with obscure requirements are currently thwarting Europe's telecommunications industry at the moment.
nl|Er wordt een uitbreiding van de rechten van de zwangere en de borstvoedinggevende vrouw gevraagd.
en|That is why the MEPs of the Communist Party of Greece voted against the report.
nl|Ons voorbehoud betreft het wetboek van strafrecht, en daarom hebben wij tegen paragraaf 4 gestemd.
en|The Cohesion Fund is very important with respect to economic and social solidarity in Europe.
nl|Dat houdt in dat de examens kunnen worden afgenomen door andere dan de bevoegde instanties.
